time,event,node,packet,noise
0.716334,TX,8,0,0.000000
0.718020,TX,5,1,0.000000
0.772020,TX,5,2,0.000000
0.826020,TX,5,3,0.000000
0.852308,COLLISION,6,,
0.866301,COLLISION,1,,
0.872321,RX,9,0,0.000000
0.874007,RX,0,1,0.000000
0.874007,RX,6,1,0.395000
0.880020,TX,5,4,0.000000
0.882080,RX,3,0,0.000000
0.882080,RX,7,0,0.000000
0.894007,COLLISION,6,,
0.898615,RX,4,0,0.000000
0.900301,RX,1,1,0.395000
0.902314,RX,2,0,0.000000
0.920301,COLLISION,1,,
0.927153,COLLISION,0,,
0.928007,RX,0,2,0.395000
0.934020,TX,5,5,0.000000
0.941994,RX,7,1,0.000000
0.948007,COLLISION,0,,
0.955686,RX,2,1,0.000000
0.995994,RX,7,2,0.000000
1.004778,RX,5,0,0.000000
1.006464,RX,8,1,0.000000
1.009686,RX,2,2,0.000000
1.018518,RX,3,1,0.000000
1.036007,RX,6,4,0.000000
1.049994,RX,7,3,0.000000
1.060464,RX,8,2,0.000000
1.062301,RX,1,4,0.000000
1.063686,RX,2,3,0.000000
1.072518,RX,3,2,0.000000
1.072687,RX,9,1,0.000000
1.081217,RX,4,1,0.000000
1.090007,RX,0,5,0.000000
1.090007,RX,6,5,0.000000
1.103994,RX,7,4,0.000000
1.114464,RX,8,3,0.000000
1.116301,RX,1,5,0.000000
1.117686,RX,2,4,0.000000
1.126518,RX,3,3,0.000000
1.126687,RX,9,2,0.000000
1.135217,RX,4,2,0.000000
1.144618,TX,1,7,0.000000
1.157994,RX,7,5,0.000000
1.168464,RX,8,4,0.000000
1.171686,RX,2,5,0.000000
1.180518,RX,3,4,0.000000
1.180687,RX,9,3,0.000000
1.189217,RX,4,3,0.000000
1.222464,RX,8,5,0.000000
1.234518,RX,3,5,0.000000
1.234687,RX,9,4,0.000000
1.243217,RX,4,4,0.000000
1.288687,RX,9,5,0.000000
1.297217,RX,4,5,0.000000
1.300605,RX,0,7,0.000000
1.300605,RX,2,7,0.000000
1.300605,RX,6,7,0.000000
1.326899,RX,5,7,0.000000
1.330598,RX,7,7,0.000000
1.341187,TX,4,10,0.000000
1.368592,RX,3,7,0.000000
1.382284,RX,8,7,0.000000
1.433062,RX,4,7,0.000000
1.443436,RX,9,7,0.000000
1.497174,RX,9,10,0.000000
1.506933,RX,3,10,0.000000
1.523468,RX,8,10,0.000000
1.565161,RX,2,10,0.000000
1.583532,RX,7,10,0.000000
1.629631,RX,1,10,0.000000
