time,event,node,packet,noise
2.404000,TX,4,10,0.000000
2.551987,RX,9,10,0.000000
2.561746,RX,3,10,0.000000
2.578281,RX,8,10,0.000000
2.619974,RX,2,10,0.000000
2.638344,RX,7,10,0.000000
2.684444,RX,1,10,0.000000
2.696498,RX,6,10,0.000000
2.750667,RX,0,10,0.000000
2.759197,RX,5,10,0.000000
3.005000,TX,5,1,0.000000
3.152987,RX,0,1,0.000000
3.152987,RX,6,1,0.000000
3.179281,RX,1,1,0.000000
3.220974,RX,7,1,0.000000
3.234666,RX,2,1,0.000000
3.285444,RX,8,1,0.000000
3.297498,RX,3,1,0.000000
3.351667,RX,9,1,0.000000
3.360197,RX,4,1,0.000000
3.606000,TX,6,26,0.000000
3.753987,RX,1,26,0.000000
3.753987,RX,5,26,0.000000
3.753987,RX,7,26,0.000000
3.780281,RX,2,26,0.000000
3.783980,RX,0,26,0.000000
3.821974,RX,8,26,0.000000
3.835666,RX,3,26,0.000000
3.886444,RX,9,26,0.000000
3.898498,RX,4,26,0.000000
4.207000,TX,7,6,0.000000
4.354987,RX,2,6,0.000000
4.354987,RX,6,6,0.000000
4.364746,RX,8,6,0.000000
4.381281,RX,3,6,0.000000
4.384980,RX,1,6,0.000000
4.422974,RX,5,6,0.000000
4.422974,RX,9,6,0.000000
4.441344,RX,0,6,0.000000
4.441344,RX,4,6,0.000000
4.808000,TX,8,0,0.000000
4.955987,RX,9,0,0.000000
4.965746,RX,3,0,0.000000
4.965746,RX,7,0,0.000000
4.982281,RX,4,0,0.000000
4.985980,RX,2,0,0.000000
5.023974,RX,6,0,0.000000
5.037666,RX,1,0,0.000000
5.088444,RX,5,0,0.000000
5.098819,RX,0,0,0.000000
5.409000,TX,9,8,0.000000
5.556987,RX,4,8,0.000000
5.556987,RX,8,8,0.000000
5.586980,RX,3,8,0.000000
5.624974,RX,7,8,0.000000
5.638666,RX,2,8,0.000000
5.689444,RX,6,8,0.000000
5.699819,RX,1,8,0.000000
5.755667,RX,5,8,0.000000
5.764197,RX,0,8,0.000000
6.010000,TX,0,14,0.000000
6.157987,RX,1,14,0.000000
6.157987,RX,5,14,0.000000
6.187980,RX,6,14,0.000000
6.225974,RX,2,14,0.000000
6.244344,RX,7,14,0.000000
6.293961,RX,3,14,0.000000
6.300819,RX,8,14,0.000000
6.356667,RX,4,14,0.000000
6.365197,RX,9,14,0.000000
6.611000,TX,1,7,0.000000
6.758987,RX,0,7,0.000000
6.758987,RX,2,7,0.000000
6.758987,RX,6,7,0.000000
6.785281,RX,5,7,0.000000
6.788980,RX,7,7,0.000000
6.826974,RX,3,7,0.000000
6.840666,RX,8,7,0.000000
6.891444,RX,4,7,0.000000
6.901819,RX,9,7,0.000000
7.212000,TX,2,40,0.000000
7.359987,RX,1,40,0.000000
7.359987,RX,3,40,0.000000
7.359987,RX,7,40,0.000000
7.386281,RX,6,40,0.000000
7.389980,RX,8,40,0.000000
7.427974,RX,0,40,0.000000
7.427974,RX,4,40,0.000000
7.441666,RX,5,40,0.000000
7.441666,RX,9,40,0.000000
7.813000,TX,3,25,0.000000
7.960987,RX,2,25,0.000000
7.970746,RX,4,25,0.000000
7.970746,RX,8,25,0.000000
7.987281,RX,7,25,0.000000
7.990980,RX,9,25,0.000000
8.028974,RX,1,25,0.000000
8.042666,RX,6,25,0.000000
8.096961,RX,0,25,0.000000
8.105498,RX,5,25,0.000000
8.414000,TX,4,12,0.000000
8.561987,RX,9,12,0.000000
8.571746,RX,3,12,0.000000
8.588281,RX,8,12,0.000000
8.629974,RX,2,12,0.000000
8.648344,RX,7,12,0.000000
8.694444,RX,1,12,0.000000
8.706498,RX,6,12,0.000000
8.760667,RX,0,12,0.000000
8.769197,RX,5,12,0.000000
9.015000,TX,5,2,0.000000
9.162987,RX,0,2,0.000000
9.162987,RX,6,2,0.000000
9.189281,RX,1,2,0.000000
9.230974,RX,7,2,0.000000
9.244666,RX,2,2,0.000000
9.295444,RX,8,2,0.000000
9.307498,RX,3,2,0.000000
9.361667,RX,9,2,0.000000
9.370197,RX,4,2,0.000000
9.616000,TX,6,74,0.000000
9.763987,RX,1,74,0.000000
9.763987,RX,5,74,0.000000
9.763987,RX,7,74,0.000000
9.790281,RX,2,74,0.000000
9.793980,RX,0,74,0.000000
9.831974,RX,8,74,0.000000
9.845666,RX,3,74,0.000000
9.896444,RX,9,74,0.000000
9.908498,RX,4,74,0.000000
10.217000,TX,7,11,0.000000
10.364987,RX,2,11,0.000000
10.364987,RX,6,11,0.000000
10.374746,RX,8,11,0.000000
10.391281,RX,3,11,0.000000
10.394980,RX,1,11,0.000000
10.432974,RX,5,11,0.000000
10.432974,RX,9,11,0.000000
10.451344,RX,0,11,0.000000
10.451344,RX,4,11,0.000000
10.818000,TX,8,32,0.000000
10.965987,RX,9,32,0.000000
10.975746,RX,3,32,0.000000
10.975746,RX,7,32,0.000000
10.992281,RX,4,32,0.000000
10.995980,RX,2,32,0.000000
11.033974,RX,6,32,0.000000
11.047666,RX,1,32,0.000000
11.098444,RX,5,32,0.000000
11.108819,RX,0,32,0.000000
11.419000,TX,9,9,0.000000
11.566987,RX,4,9,0.000000
11.566987,RX,8,9,0.000000
11.596980,RX,3,9,0.000000
11.634974,RX,7,9,0.000000
11.648666,RX,2,9,0.000000
11.699444,RX,6,9,0.000000
11.709819,RX,1,9,0.000000
11.765667,RX,5,9,0.000000
11.774197,RX,0,9,0.000000
12.020000,TX,0,15,0.000000
12.167987,RX,1,15,0.000000
12.167987,RX,5,15,0.000000
12.197980,RX,6,15,0.000000
12.235974,RX,2,15,0.000000
12.254344,RX,7,15,0.000000
12.303961,RX,3,15,0.000000
12.310819,RX,8,15,0.000000
12.366667,RX,4,15,0.000000
12.375197,RX,9,15,0.000000
12.621000,TX,1,29,0.000000
12.768987,RX,0,29,0.000000
12.768987,RX,2,29,0.000000
12.768987,RX,6,29,0.000000
12.795281,RX,5,29,0.000000
12.798980,RX,7,29,0.000000
12.836974,RX,3,29,0.000000
12.850666,RX,8,29,0.000000
12.901444,RX,4,29,0.000000
12.911819,RX,9,29,0.000000
13.222000,TX,2,41,0.000000
13.369987,RX,1,41,0.000000
13.369987,RX,3,41,0.000000
13.369987,RX,7,41,0.000000
13.396281,RX,6,41,0.000000
13.399980,RX,8,41,0.000000
13.437974,RX,0,41,0.000000
13.437974,RX,4,41,0.000000
13.451666,RX,5,41,0.000000
13.451666,RX,9,41,0.000000
13.823000,TX,3,59,0.000000
13.970987,RX,2,59,0.000000
13.980746,RX,4,59,0.000000
13.980746,RX,8,59,0.000000
13.997281,RX,7,59,0.000000
14.000980,RX,9,59,0.000000
14.038974,RX,1,59,0.000000
14.052666,RX,6,59,0.000000
14.106961,RX,0,59,0.000000
14.115498,RX,5,59,0.000000
14.424000,TX,4,27,0.000000
14.571987,RX,9,27,0.000000
14.581746,RX,3,27,0.000000
14.598281,RX,8,27,0.000000
14.639974,RX,2,27,0.000000
14.658344,RX,7,27,0.000000
14.704444,RX,1,27,0.000000
14.716498,RX,6,27,0.000000
14.770667,RX,0,27,0.000000
14.779197,RX,5,27,0.000000
15.025000,TX,5,3,0.000000
15.172987,RX,0,3,0.000000
15.172987,RX,6,3,0.000000
15.199281,RX,1,3,0.000000
15.240974,RX,7,3,0.000000
15.254666,RX,2,3,0.000000
15.305444,RX,8,3,0.000000
15.317498,RX,3,3,0.000000
15.371667,RX,9,3,0.000000
15.380197,RX,4,3,0.000000
15.626000,TX,6,81,0.000000
15.773987,RX,1,81,0.000000
15.773987,RX,5,81,0.000000
15.773987,RX,7,81,0.000000
15.800281,RX,2,81,0.000000
15.803980,RX,0,81,0.000000
15.841974,RX,8,81,0.000000
15.855666,RX,3,81,0.000000
15.906444,RX,9,81,0.000000
15.918498,RX,4,81,0.000000
16.227000,TX,7,19,0.000000
16.374987,RX,2,19,0.000000
16.374987,RX,6,19,0.000000
16.384746,RX,8,19,0.000000
16.401281,RX,3,19,0.000000
16.404980,RX,1,19,0.000000
16.442974,RX,5,19,0.000000
16.442974,RX,9,19,0.000000
16.461344,RX,0,19,0.000000
16.461344,RX,4,19,0.000000
16.828000,TX,8,33,0.000000
16.975987,RX,9,33,0.000000
16.985746,RX,3,33,0.000000
16.985746,RX,7,33,0.000000
17.002281,RX,4,33,0.000000
17.005980,RX,2,33,0.000000
17.043974,RX,6,33,0.000000
17.057666,RX,1,33,0.000000
17.108444,RX,5,33,0.000000
17.118819,RX,0,33,0.000000
17.429000,TX,9,17,0.000000
17.576987,RX,4,17,0.000000
17.576987,RX,8,17,0.000000
17.606980,RX,3,17,0.000000
17.644974,RX,7,17,0.000000
17.658666,RX,2,17,0.000000
17.709444,RX,6,17,0.000000
17.719819,RX,1,17,0.000000
17.775667,RX,5,17,0.000000
17.784197,RX,0,17,0.000000
18.030000,TX,0,35,0.000000
18.177987,RX,1,35,0.000000
18.177987,RX,5,35,0.000000
18.207980,RX,6,35,0.000000
18.245974,RX,2,35,0.000000
18.264344,RX,7,35,0.000000
18.313961,RX,3,35,0.000000
18.320819,RX,8,35,0.000000
18.376667,RX,4,35,0.000000
18.385197,RX,9,35,0.000000
18.631000,TX,1,34,0.000000
18.778987,RX,0,34,0.000000
18.778987,RX,2,34,0.000000
18.778987,RX,6,34,0.000000
18.805281,RX,5,34,0.000000
18.808980,RX,7,34,0.000000
18.846974,RX,3,34,0.000000
18.860666,RX,8,34,0.000000
18.911444,RX,4,34,0.000000
18.921819,RX,9,34,0.000000
19.232000,TX,2,42,0.000000
19.379987,RX,1,42,0.000000
19.379987,RX,3,42,0.000000
19.379987,RX,7,42,0.000000
19.406281,RX,6,42,0.000000
19.409980,RX,8,42,0.000000
19.447974,RX,0,42,0.000000
